.,NS,"[b.root-servers.net.,c.root-servers.net.,j.root-servers.net.,h.root-servers.net.,a.root-servers.net.,g.root-servers.net.,e.root-servers.net.,i.root-servers.net.,f.root-servers.net.,l.root-servers.net.,m.root-servers.net.,d.root-servers.net.,k.root-servers.net.]"
b.root-servers.net.,A,[199.9.14.201]
c.root-servers.net.,A,[192.33.4.12]
j.root-servers.net.,A,[192.58.128.30]
h.root-servers.net.,A,[198.97.190.53]
a.root-servers.net.,A,[198.41.0.4]
g.root-servers.net.,A,[192.112.36.4]
e.root-servers.net.,A,[192.203.230.10]
i.root-servers.net.,A,[192.36.148.17]
f.root-servers.net.,A,[192.5.5.241]
l.root-servers.net.,A,[199.7.83.42]
m.root-servers.net.,A,[202.12.27.33]
d.root-servers.net.,A,[199.7.91.13]
k.root-servers.net.,A,[193.0.14.129]
it.,NS,"[m.dns.it.,dns.nic.it.,r.dns.it.,a.dns.it.,s.dns.it.,nameserver.cnr.it.]"
m.dns.it.,A,[217.29.76.4]
dns.nic.it.,A,[192.12.192.5]
r.dns.it.,A,[193.206.141.46]
a.dns.it.,A,[194.0.16.215]
s.dns.it.,A,[194.146.106.30]
nameserver.cnr.it.,A,[194.119.192.34]
units.it.,NS,"[ns2.units.it.,ns3.units.it.,ns1.units.it.]"
ns2.units.it.,A,[140.105.114.33]
ns3.units.it.,A,[90.147.166.135]
ns1.units.it.,A,[140.105.114.22]
dia.units.it.,NS,"[ns1.units.it.,ns2.units.it.]"
net.,NS,"[d.gtld-servers.net.,k.gtld-servers.net.,e.gtld-servers.net.,c.gtld-servers.net.,h.gtld-servers.net.,l.gtld-servers.net.,b.gtld-servers.net.,i.gtld-servers.net.,m.gtld-servers.net.,f.gtld-servers.net.,j.gtld-servers.net.,a.gtld-servers.net.,g.gtld-servers.net.]"
d.gtld-servers.net.,A,[192.31.80.30]
k.gtld-servers.net.,A,[192.52.178.30]
e.gtld-servers.net.,A,[192.12.94.30]
c.gtld-servers.net.,A,[192.26.92.30]
h.gtld-servers.net.,A,[192.54.112.30]
l.gtld-servers.net.,A,[192.41.162.30]
b.gtld-servers.net.,A,[192.33.14.30]
i.gtld-servers.net.,A,[192.43.172.30]
m.gtld-servers.net.,A,[192.55.83.30]
f.gtld-servers.net.,A,[192.35.51.30]
j.gtld-servers.net.,A,[192.48.79.30]
a.gtld-servers.net.,A,[192.5.6.30]
g.gtld-servers.net.,A,[192.42.93.30]
root-servers.net.,NS,"[h.root-servers.net.,c.root-servers.net.,a.root-servers.net.,g.root-servers.net.,b.root-servers.net.,l.root-servers.net.,k.root-servers.net.,d.root-servers.net.,i.root-servers.net.,m.root-servers.net.,f.root-servers.net.,j.root-servers.net.,e.root-servers.net.]"
dns.it.,NS,"[ns2.nic.it.,dns.nic.it.,m.dns.it.,s.dns.it.]"
ns2.nic.it.,A,[192.12.192.3]
nic.it.,NS,"[r.dns.it.,s.dns.it.,nameserver.cnr.it.,ns2.nic.it.,dns.nic.it.,m.dns.it.]"
cnr.it.,NS,"[dns2.cnr.it.,ns.ge.cnr.it.,dns.cnr.it.,nameserver.cnr.it.]"
dns2.cnr.it.,A,[150.146.81.2]
ns.ge.cnr.it.,A,[150.145.0.4]
dns.cnr.it.,A,[150.146.205.10]
gtld-servers.net.,NS,"[av3.nstld.com.,av4.nstld.com.,av1.nstld.com.,av2.nstld.com.]"
av3.nstld.com.,A,[192.82.133.30]
av4.nstld.com.,A,[192.82.134.30]
av1.nstld.com.,A,[192.42.177.30]
av2.nstld.com.,A,[192.42.178.30]
ge.cnr.it.,NS,"[nameserver.cnr.it.,ns.ge.cnr.it.,nameserver.ieiit.cnr.it.]"
nameserver.ieiit.cnr.it.,A,[150.145.1.4]
com.,NS,"[l.gtld-servers.net.,f.gtld-servers.net.,c.gtld-servers.net.,d.gtld-servers.net.,k.gtld-servers.net.,a.gtld-servers.net.,h.gtld-servers.net.,m.gtld-servers.net.,i.gtld-servers.net.,b.gtld-servers.net.,e.gtld-servers.net.,j.gtld-servers.net.,g.gtld-servers.net.]"
nstld.com.,NS,"[av4.nstld.com.,av1.nstld.com.,av3.nstld.com.,av2.nstld.com.]"
ieiit.cnr.it.,NS,"[nameserver.cnr.it.,nameserver.ge.cnr.it.,nameserver.ieiit.cnr.it.]"
nameserver.ge.cnr.it.,A,[150.145.0.2]
